"PUBLICATION","SCENARIO","CATEGORY","PRODUCT","FLOW","UNIT","REGION","YEAR","VALUE"
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Oil: non-energy use","Total energy supply","EJ","World",2035,33.372
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Oil: non-energy use","Total energy supply","EJ","World",2040,32.08
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Oil: non-energy use","Total energy supply","EJ","World",2050,28.339
"World Energy Outlook 2025","Historical","Energy","Coal","Total energy supply","EJ","World",2010,152.635
"World Energy Outlook 2025","Historical","Energy","Coal","Total energy supply","EJ","World",2023,176.388
"World Energy Outlook 2025","Historical","Energy","Coal","Total energy supply","EJ","World",2024,178.449
"World Energy Outlook 2025","Current Policies Scenario","Energy","Coal","Total energy supply","EJ","World",2035,164.627
"World Energy Outlook 2025","Current Policies Scenario","Energy","Coal","Total energy supply","EJ","World",2040,154.642
"World Energy Outlook 2025","Current Policies Scenario","Energy","Coal","Total energy supply","EJ","World",2050,138.452
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Coal","Total energy supply","EJ","World",2035,143.439
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Coal","Total energy supply","EJ","World",2040,121.011
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Coal","Total energy supply","EJ","World",2050,95.492
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Coal","Total energy supply","EJ","World",2035,70.031
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Coal","Total energy supply","EJ","World",2040,29.37
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Coal","Total energy supply","EJ","World",2050,15.164
"World Energy Outlook 2025","Historical","Energy","Coal: unabated","Total energy supply","EJ","World",2010,150.767
"World Energy Outlook 2025","Historical","Energy","Coal: unabated","Total energy supply","EJ","World",2023,172.815
"World Energy Outlook 2025","Historical","Energy","Coal: unabated","Total energy supply","EJ","World",2024,174.55
"World Energy Outlook 2025","Current Policies Scenario","Energy","Coal: unabated","Total energy supply","EJ","World",2035,160.004
"World Energy Outlook 2025","Current Policies Scenario","Energy","Coal: unabated","Total energy supply","EJ","World",2040,149.776
"World Energy Outlook 2025","Current Policies Scenario","Energy","Coal: unabated","Total energy supply","EJ","World",2050,133.702
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Coal: unabated","Total energy supply","EJ","World",2035,138.961
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Coal: unabated","Total energy supply","EJ","World",2040,116.338
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Coal: unabated","Total energy supply","EJ","World",2050,90.977
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Coal: unabated","Total energy supply","EJ","World",2035,60.586
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Coal: unabated","Total energy supply","EJ","World",2040,17.124
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Coal: unabated","Total energy supply","EJ","World",2050,1.965
"World Energy Outlook 2025","Historical","Energy","Coal: with CCUS","Total energy supply","EJ","World",2010,0
"World Energy Outlook 2025","Historical","Energy","Coal: with CCUS","Total energy supply","EJ","World",2023,0.016
"World Energy Outlook 2025","Historical","Energy","Coal: with CCUS","Total energy supply","EJ","World",2024,0.018
"World Energy Outlook 2025","Current Policies Scenario","Energy","Coal: with CCUS","Total energy supply","EJ","World",2035,0.207
"World Energy Outlook 2025","Current Policies Scenario","Energy","Coal: with CCUS","Total energy supply","EJ","World",2040,0.375
"World Energy Outlook 2025","Current Policies Scenario","Energy","Coal: with CCUS","Total energy supply","EJ","World",2050,0.446
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Coal: with CCUS","Total energy supply","EJ","World",2035,0.233
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Coal: with CCUS","Total energy supply","EJ","World",2040,0.425
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Coal: with CCUS","Total energy supply","EJ","World",2050,0.588
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Coal: with CCUS","Total energy supply","EJ","World",2035,6.116
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Coal: with CCUS","Total energy supply","EJ","World",2040,9.451
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Coal: with CCUS","Total energy supply","EJ","World",2050,11.55
"World Energy Outlook 2025","Historical","Energy","Total","Power sector inputs","EJ","World",2010,200.115
"World Energy Outlook 2025","Historical","Energy","Total","Power sector inputs","EJ","World",2023,256.642
"World Energy Outlook 2025","Historical","Energy","Total","Power sector inputs","EJ","World",2024,264.871
"World Energy Outlook 2025","Current Policies Scenario","Energy","Total","Power sector inputs","EJ","World",2035,321.297
"World Energy Outlook 2025","Current Policies Scenario","Energy","Total","Power sector inputs","EJ","World",2040,343.065
"World Energy Outlook 2025","Current Policies Scenario","Energy","Total","Power sector inputs","EJ","World",2050,378.195
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Total","Power sector inputs","EJ","World",2035,305.697
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Total","Power sector inputs","EJ","World",2040,318.369
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Total","Power sector inputs","EJ","World",2050,348.151
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Total","Power sector inputs","EJ","World",2035,282.777
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Total","Power sector inputs","EJ","World",2040,322.1
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Total","Power sector inputs","EJ","World",2050,410.311
"World Energy Outlook 2025","Historical","Energy","Renewables","Power sector inputs","EJ","World",2010,20.209
"World Energy Outlook 2025","Historical","Energy","Renewables","Power sector inputs","EJ","World",2023,43.708
"World Energy Outlook 2025","Historical","Energy","Renewables","Power sector inputs","EJ","World",2024,47.557
"World Energy Outlook 2025","Current Policies Scenario","Energy","Renewables","Power sector inputs","EJ","World",2035,96.784
"World Energy Outlook 2025","Current Policies Scenario","Energy","Renewables","Power sector inputs","EJ","World",2040,118.637
